component,explained_variance_ratio,cumulative_explained_variance
PC375,2.4703323294609644e-05,0.9968797963142765
PC376,2.4703323294609644e-05,0.9969044996375711
PC377,2.4703323294609644e-05,0.9969292029608657
PC378,2.4703323294609644e-05,0.9969539062841604
PC379,2.4703323294609644e-05,0.996978609607455
PC380,2.4703323294609644e-05,0.9970033129307496
PC381,2.4703323294609644e-05,0.9970280162540442
PC382,2.4703323294609644e-05,0.9970527195773389
PC383,2.4703323294609644e-05,0.9970774229006335
PC384,2.4703323294609644e-05,0.9971021262239281
PC385,2.4703323294609644e-05,0.9971268295472228
PC386,2.4703323294609637e-05,0.9971515328705174
PC387,2.4703323294609623e-05,0.997176236193812
PC388,2.470332329460953e-05,0.9972009395171066
PC389,2.470004918790633e-05,0.9972256395662945
PC390,2.4683995327465305e-05,0.997250323561622
PC391,2.464242451479398e-05,0.9972749659861369
PC392,2.4586611966382047e-05,0.9972995525981032
PC393,2.4404912669771933e-05,0.997323957510773
PC394,2.4400233198532472e-05,0.9973483577439715
PC395,2.421395543356867e-05,0.9973725716994051
PC396,2.3949929006612507e-05,0.9973965216284116
PC397,2.3574830019995438e-05,0.9974200964584317
PC398,2.3374996097792517e-05,0.9974434714545295
PC399,2.3274706471282344e-05,0.9974667461610007
PC400,2.3179076040754964e-05,0.9974899252370415
PC401,2.3071988459775622e-05,0.9975129972255012
PC402,2.2829563337190004e-05,0.9975358267888385
PC403,2.274475491678672e-05,0.9975585715437553
PC404,2.2475520837652132e-05,0.9975810470645929
PC405,2.2223958938129096e-05,0.9976032710235311
PC406,2.2085665152655895e-05,0.9976253566886837
PC407,2.1856352380106044e-05,0.9976472130410637
PC408,2.1737876577234974e-05,0.997668950917641
PC409,2.161052298642505e-05,0.9976905614406274
PC410,2.1468161393652896e-05,0.9977120296020211
PC411,2.1262654714444332e-05,0.9977332922567356
PC412,2.1112985122640276e-05,0.9977544052418582
PC413,2.0989525495688534e-05,0.9977753947673539
PC414,2.0818573718736736e-05,0.9977962133410726
PC415,2.071112403262833e-05,0.9978169244651053
PC416,2.059303374390144e-05,0.9978375174988492
PC417,2.0438911092362355e-05,0.9978579564099416
